[0001].[12196].[15324].[2021.04.05.01.57.23.780525].SRV1.INF:Main.py.<module>.516:Main Program Started
[0002].[12196].[15324].[2021.04.05.01.57.23.787529].SRV1.INF:Main.py.<module>.518:Command Line iniFileName=default.ini
[0003].[12196].[15324].[2021.04.05.01.57.23.795535].SRV1.INF:Main.py.<module>.519:Command Line VerboseMode=None
[0004].[12196].[15324].[2021.04.05.01.57.23.802539].SRV1.INF:Main.py.<module>.522:AppSpoManager.DebugVerboseModeOn=True
[0005].[12196].[15324].[2021.04.05.01.57.23.809544].SRV1.INF:Main.py.<module>.523:AppSpoManager.AppDebugMan.DebugInfoMessages=True
[0006].[12196].[15324].[2021.04.05.01.57.23.816549].SRV1.INF:Main.py.<module>.524:AppSpoManager.DebugErrorMessages=True
[0007].[12196].[15324].[2021.04.05.01.57.23.823553].SRV1.INF:Main.py.<module>.525:AppSpoManager.DebugTargetConsole=False
[0008].[12196].[15324].[2021.04.05.01.57.23.830558].SRV1.INF:Main.py.<module>.526:AppSpoManager.DebugTargetFile=True
[0009].[12196].[15324].[2021.04.05.01.57.23.836562].SRV1.INF:Main.py.<module>.527:AppSpoManager.DebugTargetFilePath=Debugs\Debug1
[0010].[12196].[15324].[2021.04.05.01.57.23.843567].SRV1.INF:Main.py.<module>.528:AppSpoManager.DebugLinesPerFile=1000
[0011].[12196].[15324].[2021.04.05.01.57.23.850571].SRV1.INF:Main.py.<module>.529:AppSpoManager.AppRunFolder=c:\Apps\PythonTry1
[0012].[12196].[15324].[2021.04.05.01.57.23.857576].SRV1.INF:Main.py.<module>.535:ModuleFileNameOnly=Main.py
[0013].[12196].[15324].[2021.04.05.01.57.23.864580].SRV1.INF:Main.py.<module>.537:File=c:\Apps\PythonTry1\Main.py
[0014].[12196].[15324].[2021.04.05.01.57.23.871585].SRV1.INF:Main.py.<module>.538:FileDirName=c:\Apps\PythonTry1
[0015].[12196].[15324].[2021.04.05.01.57.23.877589].SRV1.INF:Main.py.<module>.539:FileAbsPath=c:\Apps\PythonTry1\Main.py
[0016].[12196].[15324].[2021.04.05.01.57.23.884593].SRV1.INF:Main.py.<module>.540:ModuleName1=__main__
[0017].[12196].[15324].[2021.04.05.01.57.23.891598].SRV1.INF:Main.py.<module>.541:ModuleName2=Main
[0018].[12196].[15324].[2021.04.05.01.57.23.898603].SRV1.INF:Main.py.<module>.543:Main Program Started
[0019].[12196].[15324].[2021.04.05.01.57.23.904607].SRV1.INF:Main.py.<module>.544:Python Executable Path=C:\Program Files\Python39\python.exe
[0020].[12196].[15324].[2021.04.05.01.57.23.911612].SRV1.INF:Main.py.<module>.545:Python Interpreter Version=3.9.2 (tags/v3.9.2:1a79785, Feb 19 2021, 13:44:55) [MSC v.1928 64 bit (AMD64)]
[0021].[12196].[15324].[2021.04.05.01.57.23.918616].SRV1.INF:Main.py.<module>.546:PythonShellProcessPID=15324
[0022].[12196].[15324].[2021.04.05.01.57.23.931626].SRV1.INF:Main.py.<module>.547:PythonShellParentProcessPID=12196
[0023].[12196].[15324].[2021.04.05.01.57.23.938629].SRV1.INF:Main.py.<module>.550:Sys.Path=['c:\\Apps\\PythonTry1', 'C:\\Program Files\\Python39\\python39.zip', 'C:\\Program Files\\Python39\\DLLs', 'C:\\Program Files\\Python39\\lib', 'C:\\Program Files\\Python39', 'C:\\Users\\user2\\AppData\\Roaming\\Python\\Python39\\site-packages', 'C:\\Program Files\\Python39\\lib\\site-packages']
[0024].[12196].[15324].[2021.04.05.01.57.23.969652].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.385:192.168.0.1, KAT1.ODA1, KORÝDOR DUVAR
192.168.0.2, KAT2.ODA2, TAVAN HOPARLÖR
192.168.0.3, KAT3.ODA3, KAPI_ÖNÜ_ANONS
[0025].[12196].[15324].[2021.04.05.01.57.23.978656].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.399:List of All Nodes Read From IniFile------
[0026].[12196].[15324].[2021.04.05.01.57.23.993666].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.401:Node[0] Order=[0] IP=192.168.0.1] Place=]KAT1.ODA1] Desc=[KORÝDOR DUVAR]
[0027].[12196].[15324].[2021.04.05.01.57.24.002673].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.401:Node[1] Order=[1] IP=192.168.0.2] Place=]KAT2.ODA2] Desc=[TAVAN HOPARLÖR]
[0028].[12196].[15324].[2021.04.05.01.57.24.010678].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.401:Node[2] Order=[2] IP=192.168.0.3] Place=]KAT3.ODA3] Desc=[KAPI_ÖNÜ_ANONS]
[0029].[12196].[15324].[2021.04.05.01.57.24.018683].SRV1.INF:Main.py.<module>.587:Creating TestThread1
[0030].[12196].[15324].[2021.04.05.01.57.24.025688].SRV1.INF:Main.py.<module>.589:Created TestThread1
[0031].[12196].[15324].[2021.04.05.01.57.24.033694].SRV1.INF:Main.py.<module>.591:Starting TestThread1
[0032].[12196].[15324].[2021.04.05.01.57.24.040699].SRV1.INF:Main.py.<module>.593:Started TestThread1
[0033].[12196].[15324].[2021.04.05.01.57.24.048703].SRV1.INF:Main.py.<module>.595:Showing MainWindow
[0034].[12196].[15324].[2021.04.05.01.57.24.058710].SRV1.INF:Main.py.on_data_ready.50:Cx=1 Deðer1 from ThreadName=TH2 ThreadID=9552
[0035].[12196].[15324].[2021.04.05.01.57.24.066715].SRV1.INF:Main.py.on_data_ready.50:Cx=1 Deðer1 from ThreadName=TH1 ThreadID=10728
[0036].[12196].[15324].[2021.04.05.01.57.24.074721].SRV1.INF:Main.py.on_data_ready.50:Cx=2 Deðer1 from ThreadName=TH1 ThreadID=10728
[0037].[12196].[15324].[2021.04.05.01.57.24.081726].SRV1.INF:Main.py.on_data_ready.50:Cx=2 Deðer1 from ThreadName=TH2 ThreadID=9552
[0038].[12196].[15324].[2021.04.05.01.57.24.128755].SRV1.INF:Main.py.on_data_ready.50:Cx=3 Deðer1 from ThreadName=TH1 ThreadID=10728
[0039].[12196].[15324].[2021.04.05.01.57.24.138763].SRV1.INF:Main.py.on_data_ready.50:Cx=3 Deðer1 from ThreadName=TH2 ThreadID=9552
[0040].[12196].[15324].[2021.04.05.01.57.24.145767].SRV1.INF:Main.py.on_data_ready.50:Cx=4 Deðer1 from ThreadName=TH1 ThreadID=10728
[0041].[12196].[15324].[2021.04.05.01.57.24.155775].SRV1.INF:Main.py.on_data_ready.50:Cx=4 Deðer1 from ThreadName=TH2 ThreadID=9552
[0042].[12196].[15324].[2021.04.05.01.57.24.163782].SRV1.INF:Main.py.on_data_ready.50:Cx=5 Deðer1 from ThreadName=TH2 ThreadID=9552
[0043].[12196].[15324].[2021.04.05.01.57.24.172786].SRV1.INF:Main.py.on_data_ready.50:Cx=5 Deðer1 from ThreadName=TH1 ThreadID=10728
[0044].[12196].[15324].[2021.04.05.01.57.24.181794].SRV1.INF:Main.py.on_data_ready.50:Cx=6 Deðer1 from ThreadName=TH2 ThreadID=9552
[0045].[12196].[15324].[2021.04.05.01.57.24.190797].SRV1.INF:Main.py.on_data_ready.50:Cx=6 Deðer1 from ThreadName=TH1 ThreadID=10728
[0046].[12196].[15324].[2021.04.05.01.57.24.198807].SRV1.INF:Main.py.on_data_ready.50:Cx=7 Deðer1 from ThreadName=TH2 ThreadID=9552
[0047].[12196].[15324].[2021.04.05.01.57.24.207313].SRV1.INF:Main.py.on_data_ready.50:Cx=7 Deðer1 from ThreadName=TH1 ThreadID=10728
[0048].[12196].[15324].[2021.04.05.01.57.24.215822].SRV1.INF:Main.py.on_data_ready.50:Cx=8 Deðer1 from ThreadName=TH1 ThreadID=10728
[0049].[12196].[15324].[2021.04.05.01.57.24.223827].SRV1.INF:Main.py.on_data_ready.50:Cx=8 Deðer1 from ThreadName=TH2 ThreadID=9552
[0050].[12196].[15324].[2021.04.05.01.57.24.231833].SRV1.INF:Main.py.on_data_ready.50:Cx=9 Deðer1 from ThreadName=TH1 ThreadID=10728
[0051].[12196].[15324].[2021.04.05.01.57.24.239837].SRV1.INF:Main.py.on_data_ready.50:Cx=9 Deðer1 from ThreadName=TH2 ThreadID=9552
[0052].[12196].[15324].[2021.04.05.01.57.24.247842].SRV1.INF:Main.py.on_data_ready.50:Cx=10 Deðer1 from ThreadName=TH1 ThreadID=10728
[0053].[12196].[15324].[2021.04.05.01.57.24.254846].SRV1.INF:Main.py.on_data_ready.50:Cx=10 Deðer1 from ThreadName=TH2 ThreadID=9552
[0054].[12196].[15324].[2021.04.05.01.57.24.263852].SRV1.INF:Main.py.on_data_ready.50:Cx=11 Deðer1 from ThreadName=TH1 ThreadID=10728
[0055].[12196].[15324].[2021.04.05.01.57.24.271858].SRV1.INF:Main.py.on_data_ready.50:Cx=11 Deðer1 from ThreadName=TH2 ThreadID=9552
[0056].[12196].[15324].[2021.04.05.01.57.24.279864].SRV1.INF:Main.py.on_data_ready.50:Cx=12 Deðer1 from ThreadName=TH2 ThreadID=9552
[0057].[12196].[15324].[2021.04.05.01.57.24.287869].SRV1.INF:Main.py.on_data_ready.50:Cx=12 Deðer1 from ThreadName=TH1 ThreadID=10728
