[0001].[7712].[18576].[2021.04.05.09.25.01.014866].SRV1.INF:Main.py.<module>.518:Main Program Started
[0002].[7712].[18576].[2021.04.05.09.25.01.018869].SRV1.INF:Main.py.<module>.520:Command Line iniFileName=default.ini
[0003].[7712].[18576].[2021.04.05.09.25.01.022371].SRV1.INF:Main.py.<module>.521:Command Line VerboseMode=None
[0004].[7712].[18576].[2021.04.05.09.25.01.025873].SRV1.INF:Main.py.<module>.524:AppSpoManager.DebugVerboseModeOn=True
[0005].[7712].[18576].[2021.04.05.09.25.01.029376].SRV1.INF:Main.py.<module>.525:AppSpoManager.AppDebugMan.DebugInfoMessages=True
[0006].[7712].[18576].[2021.04.05.09.25.01.032878].SRV1.INF:Main.py.<module>.526:AppSpoManager.DebugErrorMessages=True
[0007].[7712].[18576].[2021.04.05.09.25.01.036380].SRV1.INF:Main.py.<module>.527:AppSpoManager.DebugTargetConsole=False
[0008].[7712].[18576].[2021.04.05.09.25.01.039883].SRV1.INF:Main.py.<module>.528:AppSpoManager.DebugTargetFile=True
[0009].[7712].[18576].[2021.04.05.09.25.01.043385].SRV1.INF:Main.py.<module>.529:AppSpoManager.DebugTargetFilePath=Debugs\Debug1
[0010].[7712].[18576].[2021.04.05.09.25.01.046887].SRV1.INF:Main.py.<module>.530:AppSpoManager.DebugLinesPerFile=1000
[0011].[7712].[18576].[2021.04.05.09.25.01.050390].SRV1.INF:Main.py.<module>.531:AppSpoManager.AppRunFolder=c:\Apps\PythonTry1
[0012].[7712].[18576].[2021.04.05.09.25.01.054392].SRV1.INF:Main.py.<module>.537:ModuleFileNameOnly=Main.py
[0013].[7712].[18576].[2021.04.05.09.25.01.057894].SRV1.INF:Main.py.<module>.539:File=c:\Apps\PythonTry1\Main.py
[0014].[7712].[18576].[2021.04.05.09.25.01.061397].SRV1.INF:Main.py.<module>.540:FileDirName=c:\Apps\PythonTry1
[0015].[7712].[18576].[2021.04.05.09.25.01.064899].SRV1.INF:Main.py.<module>.541:FileAbsPath=c:\Apps\PythonTry1\Main.py
[0016].[7712].[18576].[2021.04.05.09.25.01.068401].SRV1.INF:Main.py.<module>.542:ModuleName1=__main__
[0017].[7712].[18576].[2021.04.05.09.25.01.071903].SRV1.INF:Main.py.<module>.543:ModuleName2=Main
[0018].[7712].[18576].[2021.04.05.09.25.01.075406].SRV1.INF:Main.py.<module>.545:Main Program Started
[0019].[7712].[18576].[2021.04.05.09.25.01.078408].SRV1.INF:Main.py.<module>.546:Python Executable Path=C:\Program Files\Python39\python.exe
[0020].[7712].[18576].[2021.04.05.09.25.01.081910].SRV1.INF:Main.py.<module>.547:Python Interpreter Version=3.9.2 (tags/v3.9.2:1a79785, Feb 19 2021, 13:44:55) [MSC v.1928 64 bit (AMD64)]
[0021].[7712].[18576].[2021.04.05.09.25.01.085913].SRV1.INF:Main.py.<module>.548:PythonShellProcessPID=18576
[0022].[7712].[18576].[2021.04.05.09.25.01.092417].SRV1.INF:Main.py.<module>.549:PythonShellParentProcessPID=7712
[0023].[7712].[18576].[2021.04.05.09.25.01.095920].SRV1.INF:Main.py.<module>.552:Sys.Path=['c:\\Apps\\PythonTry1', 'C:\\Program Files\\Python39\\python39.zip', 'C:\\Program Files\\Python39\\DLLs', 'C:\\Program Files\\Python39\\lib', 'C:\\Program Files\\Python39', 'C:\\Users\\user2\\AppData\\Roaming\\Python\\Python39\\site-packages', 'C:\\Program Files\\Python39\\lib\\site-packages']
[0024].[7712].[18576].[2021.04.05.09.25.01.122437].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.387:192.168.0.1, KAT1.ODA1, KORÝDOR DUVAR
192.168.0.2, KAT2.ODA2, TAVAN HOPARLÖR
192.168.0.3, KAT3.ODA3, KAPI_ÖNÜ_ANONS
[0025].[7712].[18576].[2021.04.05.09.25.01.129442].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.401:List of All Nodes Read From IniFile------
[0026].[7712].[18576].[2021.04.05.09.25.01.133945].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.403:Node[0] Order=[0] IP=192.168.0.1] Place=]KAT1.ODA1] Desc=[KORÝDOR DUVAR]
[0027].[7712].[18576].[2021.04.05.09.25.01.138447].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.403:Node[1] Order=[1] IP=192.168.0.2] Place=]KAT2.ODA2] Desc=[TAVAN HOPARLÖR]
[0028].[7712].[18576].[2021.04.05.09.25.01.144452].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.403:Node[2] Order=[2] IP=192.168.0.3] Place=]KAT3.ODA3] Desc=[KAPI_ÖNÜ_ANONS]
[0029].[7712].[18576].[2021.04.05.09.25.01.148454].SRV1.INF:Main.py.<module>.581:Creating TestThread1
[0030].[7712].[18576].[2021.04.05.09.25.01.152458].SRV1.INF:Main.py.<module>.583:Created TestThread1
[0031].[7712].[18576].[2021.04.05.09.25.01.156460].SRV1.INF:Main.py.<module>.585:Starting TestThread1
[0032].[7712].[18576].[2021.04.05.09.25.01.160462].SRV1.INF:Main.py.<module>.587:Started TestThread1
[0033].[7712].[18576].[2021.04.05.09.25.01.163965].SRV1.INF:Main.py.<module>.589:Showing MainWindow
[0034].[7712].[18576].[2021.04.05.09.25.01.205493].SRV1.INF:Main.py.on_data_ready.51:Cx=1 Deðer1 from ThreadName=TH1 ThreadID=12212
[0035].[7712].[18576].[2021.04.05.09.25.01.209994].SRV1.INF:Main.py.on_data_ready.51:Cx=1 Deðer1 from ThreadName=TH2 ThreadID=17824
[0036].[7712].[18576].[2021.04.05.09.25.01.249521].SRV1.INF:Main.py.on_data_ready.51:Cx=2 Deðer1 from ThreadName=TH1 ThreadID=12212
[0037].[7712].[18576].[2021.04.05.09.25.01.253523].SRV1.INF:Main.py.on_data_ready.51:Cx=2 Deðer1 from ThreadName=TH2 ThreadID=17824
[0038].[7712].[18576].[2021.04.05.09.25.01.300054].SRV1.INF:Main.py.on_data_ready.51:Cx=3 Deðer1 from ThreadName=TH1 ThreadID=12212
[0039].[7712].[18576].[2021.04.05.09.25.01.304057].SRV1.INF:Main.py.on_data_ready.51:Cx=3 Deðer1 from ThreadName=TH2 ThreadID=17824
[0040].[7712].[18576].[2021.04.05.09.25.01.351087].SRV1.INF:Main.py.on_data_ready.51:Cx=4 Deðer1 from ThreadName=TH1 ThreadID=12212
[0041].[7712].[18576].[2021.04.05.09.25.01.355090].SRV1.INF:Main.py.on_data_ready.51:Cx=4 Deðer1 from ThreadName=TH2 ThreadID=17824
[0042].[7712].[18576].[2021.04.05.09.25.01.401120].SRV1.INF:Main.py.on_data_ready.51:Cx=5 Deðer1 from ThreadName=TH1 ThreadID=12212
[0043].[7712].[18576].[2021.04.05.09.25.01.406125].SRV1.INF:Main.py.on_data_ready.51:Cx=5 Deðer1 from ThreadName=TH2 ThreadID=17824
[0044].[7712].[18576].[2021.04.05.09.25.01.451654].SRV1.INF:Main.py.on_data_ready.51:Cx=6 Deðer1 from ThreadName=TH1 ThreadID=12212
[0045].[7712].[18576].[2021.04.05.09.25.01.455657].SRV1.INF:Main.py.on_data_ready.51:Cx=6 Deðer1 from ThreadName=TH2 ThreadID=17824
[0046].[7712].[18576].[2021.04.05.09.25.01.502188].SRV1.INF:Main.py.on_data_ready.51:Cx=7 Deðer1 from ThreadName=TH1 ThreadID=12212
[0047].[7712].[18576].[2021.04.05.09.25.01.506192].SRV1.INF:Main.py.on_data_ready.51:Cx=7 Deðer1 from ThreadName=TH2 ThreadID=17824
[0048].[7712].[18576].[2021.04.05.09.25.01.552722].SRV1.INF:Main.py.on_data_ready.51:Cx=8 Deðer1 from ThreadName=TH1 ThreadID=12212
[0049].[7712].[18576].[2021.04.05.09.25.01.556724].SRV1.INF:Main.py.on_data_ready.51:Cx=8 Deðer1 from ThreadName=TH2 ThreadID=17824
[0050].[7712].[18576].[2021.04.05.09.25.01.603254].SRV1.INF:Main.py.on_data_ready.51:Cx=9 Deðer1 from ThreadName=TH1 ThreadID=12212
[0051].[7712].[18576].[2021.04.05.09.25.01.607757].SRV1.INF:Main.py.on_data_ready.51:Cx=9 Deðer1 from ThreadName=TH2 ThreadID=17824
[0052].[7712].[18576].[2021.04.05.09.25.01.653789].SRV1.INF:Main.py.on_data_ready.51:Cx=10 Deðer1 from ThreadName=TH1 ThreadID=12212
[0053].[7712].[18576].[2021.04.05.09.25.01.658292].SRV1.INF:Main.py.on_data_ready.51:Cx=10 Deðer1 from ThreadName=TH2 ThreadID=17824
[0054].[7712].[18576].[2021.04.05.09.25.01.704322].SRV1.INF:Main.py.on_data_ready.51:Cx=11 Deðer1 from ThreadName=TH1 ThreadID=12212
[0055].[7712].[18576].[2021.04.05.09.25.01.708825].SRV1.INF:Main.py.on_data_ready.51:Cx=11 Deðer1 from ThreadName=TH2 ThreadID=17824
[0056].[7712].[18576].[2021.04.05.09.25.01.755355].SRV1.INF:Main.py.on_data_ready.51:Cx=12 Deðer1 from ThreadName=TH1 ThreadID=12212
[0057].[7712].[18576].[2021.04.05.09.25.01.759358].SRV1.INF:Main.py.on_data_ready.51:Cx=12 Deðer1 from ThreadName=TH2 ThreadID=17824
[0058].[7712].[18576].[2021.04.05.09.25.01.805390].SRV1.INF:Main.py.on_data_ready.51:Cx=13 Deðer1 from ThreadName=TH1 ThreadID=12212
[0059].[7712].[18576].[2021.04.05.09.25.01.810392].SRV1.INF:Main.py.on_data_ready.51:Cx=13 Deðer1 from ThreadName=TH2 ThreadID=17824
[0060].[7712].[18576].[2021.04.05.09.25.01.855922].SRV1.INF:Main.py.on_data_ready.51:Cx=14 Deðer1 from ThreadName=TH1 ThreadID=12212
[0061].[7712].[18576].[2021.04.05.09.25.01.860425].SRV1.INF:Main.py.on_data_ready.51:Cx=14 Deðer1 from ThreadName=TH2 ThreadID=17824
[0062].[7712].[18576].[2021.04.05.09.25.01.906957].SRV1.INF:Main.py.on_data_ready.51:Cx=15 Deðer1 from ThreadName=TH1 ThreadID=12212
[0063].[7712].[18576].[2021.04.05.09.25.01.910959].SRV1.INF:Main.py.on_data_ready.51:Cx=15 Deðer1 from ThreadName=TH2 ThreadID=17824
[0064].[7712].[18576].[2021.04.05.09.25.01.956990].SRV1.INF:Main.py.on_data_ready.51:Cx=16 Deðer1 from ThreadName=TH1 ThreadID=12212
[0065].[7712].[18576].[2021.04.05.09.25.01.960992].SRV1.INF:Main.py.on_data_ready.51:Cx=16 Deðer1 from ThreadName=TH2 ThreadID=17824
[0066].[7712].[18576].[2021.04.05.09.25.02.007523].SRV1.INF:Main.py.on_data_ready.51:Cx=17 Deðer1 from ThreadName=TH1 ThreadID=12212
[0067].[7712].[18576].[2021.04.05.09.25.02.011525].SRV1.INF:Main.py.on_data_ready.51:Cx=17 Deðer1 from ThreadName=TH2 ThreadID=17824
[0068].[7712].[18576].[2021.04.05.09.25.02.058056].SRV1.INF:Main.py.on_data_ready.51:Cx=18 Deðer1 from ThreadName=TH1 ThreadID=12212
[0069].[7712].[18576].[2021.04.05.09.25.02.062059].SRV1.INF:Main.py.on_data_ready.51:Cx=18 Deðer1 from ThreadName=TH2 ThreadID=17824
[0070].[7712].[18576].[2021.04.05.09.25.02.108590].SRV1.INF:Main.py.on_data_ready.51:Cx=19 Deðer1 from ThreadName=TH1 ThreadID=12212
[0071].[7712].[18576].[2021.04.05.09.25.02.112592].SRV1.INF:Main.py.on_data_ready.51:Cx=19 Deðer1 from ThreadName=TH2 ThreadID=17824
[0072].[7712].[18576].[2021.04.05.09.25.02.159124].SRV1.INF:Main.py.on_data_ready.51:Cx=20 Deðer1 from ThreadName=TH1 ThreadID=12212
[0073].[7712].[18576].[2021.04.05.09.25.02.163626].SRV1.INF:Main.py.on_data_ready.51:Cx=20 Deðer1 from ThreadName=TH2 ThreadID=17824
[0074].[7712].[18576].[2021.04.05.09.25.02.209657].SRV1.INF:Main.py.on_data_ready.51:Cx=21 Deðer1 from ThreadName=TH1 ThreadID=12212
[0075].[7712].[18576].[2021.04.05.09.25.02.214160].SRV1.INF:Main.py.on_data_ready.51:Cx=21 Deðer1 from ThreadName=TH2 ThreadID=17824
[0076].[7712].[18576].[2021.04.05.09.25.02.260190].SRV1.INF:Main.py.on_data_ready.51:Cx=22 Deðer1 from ThreadName=TH1 ThreadID=12212
[0077].[7712].[18576].[2021.04.05.09.25.02.264193].SRV1.INF:Main.py.on_data_ready.51:Cx=22 Deðer1 from ThreadName=TH2 ThreadID=17824
[0078].[7712].[18576].[2021.04.05.09.25.02.310725].SRV1.INF:Main.py.on_data_ready.51:Cx=23 Deðer1 from ThreadName=TH1 ThreadID=12212
[0079].[7712].[18576].[2021.04.05.09.25.02.314726].SRV1.INF:Main.py.on_data_ready.51:Cx=23 Deðer1 from ThreadName=TH2 ThreadID=17824
[0080].[7712].[18576].[2021.04.05.09.25.02.361257].SRV1.INF:Main.py.on_data_ready.51:Cx=24 Deðer1 from ThreadName=TH2 ThreadID=17824
[0081].[7712].[18576].[2021.04.05.09.25.02.365260].SRV1.INF:Main.py.on_data_ready.51:Cx=24 Deðer1 from ThreadName=TH1 ThreadID=12212
[0082].[7712].[18576].[2021.04.05.09.25.02.411790].SRV1.INF:Main.py.on_data_ready.51:Cx=25 Deðer1 from ThreadName=TH1 ThreadID=12212
[0083].[7712].[18576].[2021.04.05.09.25.02.415793].SRV1.INF:Main.py.on_data_ready.51:Cx=25 Deðer1 from ThreadName=TH2 ThreadID=17824
[0084].[7712].[18576].[2021.04.05.09.25.02.462323].SRV1.INF:Main.py.on_data_ready.51:Cx=26 Deðer1 from ThreadName=TH1 ThreadID=12212
[0085].[7712].[18576].[2021.04.05.09.25.02.466326].SRV1.INF:Main.py.on_data_ready.51:Cx=26 Deðer1 from ThreadName=TH2 ThreadID=17824
[0086].[7712].[18576].[2021.04.05.09.25.02.513358].SRV1.INF:Main.py.on_data_ready.51:Cx=27 Deðer1 from ThreadName=TH1 ThreadID=12212
[0087].[7712].[18576].[2021.04.05.09.25.02.517360].SRV1.INF:Main.py.on_data_ready.51:Cx=27 Deðer1 from ThreadName=TH2 ThreadID=17824
[0088].[7712].[18576].[2021.04.05.09.25.02.563391].SRV1.INF:Main.py.on_data_ready.51:Cx=28 Deðer1 from ThreadName=TH2 ThreadID=17824
