[0001].[12400].[14908].[2021.04.05.01.58.02.873954].SRV1.INF:Main.py.<module>.516:Main Program Started
[0002].[12400].[14908].[2021.04.05.01.58.02.882959].SRV1.INF:Main.py.<module>.518:Command Line iniFileName=default.ini
[0003].[12400].[14908].[2021.04.05.01.58.02.889964].SRV1.INF:Main.py.<module>.519:Command Line VerboseMode=None
[0004].[12400].[14908].[2021.04.05.01.58.02.896969].SRV1.INF:Main.py.<module>.522:AppSpoManager.DebugVerboseModeOn=True
[0005].[12400].[14908].[2021.04.05.01.58.02.904974].SRV1.INF:Main.py.<module>.523:AppSpoManager.AppDebugMan.DebugInfoMessages=True
[0006].[12400].[14908].[2021.04.05.01.58.02.911979].SRV1.INF:Main.py.<module>.524:AppSpoManager.DebugErrorMessages=True
[0007].[12400].[14908].[2021.04.05.01.58.02.918983].SRV1.INF:Main.py.<module>.525:AppSpoManager.DebugTargetConsole=False
[0008].[12400].[14908].[2021.04.05.01.58.02.925989].SRV1.INF:Main.py.<module>.526:AppSpoManager.DebugTargetFile=True
[0009].[12400].[14908].[2021.04.05.01.58.02.932992].SRV1.INF:Main.py.<module>.527:AppSpoManager.DebugTargetFilePath=Debugs\Debug1
[0010].[12400].[14908].[2021.04.05.01.58.02.939997].SRV1.INF:Main.py.<module>.528:AppSpoManager.DebugLinesPerFile=1000
[0011].[12400].[14908].[2021.04.05.01.58.02.947002].SRV1.INF:Main.py.<module>.529:AppSpoManager.AppRunFolder=c:\Apps\PythonTry1
[0012].[12400].[14908].[2021.04.05.01.58.02.954007].SRV1.INF:Main.py.<module>.535:ModuleFileNameOnly=Main.py
[0013].[12400].[14908].[2021.04.05.01.58.02.961012].SRV1.INF:Main.py.<module>.537:File=c:\Apps\PythonTry1\Main.py
[0014].[12400].[14908].[2021.04.05.01.58.02.969017].SRV1.INF:Main.py.<module>.538:FileDirName=c:\Apps\PythonTry1
[0015].[12400].[14908].[2021.04.05.01.58.02.976022].SRV1.INF:Main.py.<module>.539:FileAbsPath=c:\Apps\PythonTry1\Main.py
[0016].[12400].[14908].[2021.04.05.01.58.02.983026].SRV1.INF:Main.py.<module>.540:ModuleName1=__main__
[0017].[12400].[14908].[2021.04.05.01.58.02.995033].SRV1.INF:Main.py.<module>.541:ModuleName2=Main
[0018].[12400].[14908].[2021.04.05.01.58.03.006040].SRV1.INF:Main.py.<module>.543:Main Program Started
[0019].[12400].[14908].[2021.04.05.01.58.03.014045].SRV1.INF:Main.py.<module>.544:Python Executable Path=C:\Program Files\Python39\python.exe
[0020].[12400].[14908].[2021.04.05.01.58.03.021050].SRV1.INF:Main.py.<module>.545:Python Interpreter Version=3.9.2 (tags/v3.9.2:1a79785, Feb 19 2021, 13:44:55) [MSC v.1928 64 bit (AMD64)]
[0021].[12400].[14908].[2021.04.05.01.58.03.028054].SRV1.INF:Main.py.<module>.546:PythonShellProcessPID=14908
[0022].[12400].[14908].[2021.04.05.01.58.03.043065].SRV1.INF:Main.py.<module>.547:PythonShellParentProcessPID=12400
[0023].[12400].[14908].[2021.04.05.01.58.03.050069].SRV1.INF:Main.py.<module>.550:Sys.Path=['c:\\Apps\\PythonTry1', 'C:\\Program Files\\Python39\\python39.zip', 'C:\\Program Files\\Python39\\DLLs', 'C:\\Program Files\\Python39\\lib', 'C:\\Program Files\\Python39', 'C:\\Users\\user2\\AppData\\Roaming\\Python\\Python39\\site-packages', 'C:\\Program Files\\Python39\\lib\\site-packages']
[0024].[12400].[14908].[2021.04.05.01.58.03.083094].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.385:192.168.0.1, KAT1.ODA1, KORÝDOR DUVAR
192.168.0.2, KAT2.ODA2, TAVAN HOPARLÖR
192.168.0.3, KAT3.ODA3, KAPI_ÖNÜ_ANONS
[0025].[12400].[14908].[2021.04.05.01.58.03.097102].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.399:List of All Nodes Read From IniFile------
[0026].[12400].[14908].[2021.04.05.01.58.03.108108].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.401:Node[0] Order=[0] IP=192.168.0.1] Place=]KAT1.ODA1] Desc=[KORÝDOR DUVAR]
[0027].[12400].[14908].[2021.04.05.01.58.03.118115].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.401:Node[1] Order=[1] IP=192.168.0.2] Place=]KAT2.ODA2] Desc=[TAVAN HOPARLÖR]
[0028].[12400].[14908].[2021.04.05.01.58.03.129122].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.401:Node[2] Order=[2] IP=192.168.0.3] Place=]KAT3.ODA3] Desc=[KAPI_ÖNÜ_ANONS]
[0029].[12400].[14908].[2021.04.05.01.58.03.140130].SRV1.INF:Main.py.<module>.587:Creating TestThread1
[0030].[12400].[14908].[2021.04.05.01.58.03.152137].SRV1.INF:Main.py.<module>.589:Created TestThread1
[0031].[12400].[14908].[2021.04.05.01.58.03.160144].SRV1.INF:Main.py.<module>.591:Starting TestThread1
[0032].[12400].[14908].[2021.04.05.01.58.03.168147].SRV1.INF:Main.py.<module>.593:Started TestThread1
[0033].[12400].[14908].[2021.04.05.01.58.03.176153].SRV1.INF:Main.py.<module>.595:Showing MainWindow
[0034].[12400].[14908].[2021.04.05.01.58.03.235194].SRV1.INF:Main.py.on_data_ready.50:Cx=1 Deðer1 from ThreadName=TH2 ThreadID=5960
[0035].[12400].[14908].[2021.04.05.01.58.03.243200].SRV1.INF:Main.py.on_data_ready.50:Cx=1 Deðer1 from ThreadName=TH1 ThreadID=18924
[0036].[12400].[14908].[2021.04.05.01.58.03.253204].SRV1.INF:Main.py.on_data_ready.50:Cx=2 Deðer1 from ThreadName=TH1 ThreadID=18924
[0037].[12400].[14908].[2021.04.05.01.58.03.263215].SRV1.INF:Main.py.on_data_ready.50:Cx=2 Deðer1 from ThreadName=TH2 ThreadID=5960
[0038].[12400].[14908].[2021.04.05.01.58.03.294233].SRV1.INF:Main.py.on_data_ready.50:Cx=3 Deðer1 from ThreadName=TH1 ThreadID=18924
[0039].[12400].[14908].[2021.04.05.01.58.03.304238].SRV1.INF:Main.py.on_data_ready.50:Cx=3 Deðer1 from ThreadName=TH2 ThreadID=5960
[0040].[12400].[14908].[2021.04.05.01.58.03.345265].SRV1.INF:Main.py.on_data_ready.50:Cx=4 Deðer1 from ThreadName=TH2 ThreadID=5960
[0041].[12400].[14908].[2021.04.05.01.58.03.352269].SRV1.INF:Main.py.on_data_ready.50:Cx=4 Deðer1 from ThreadName=TH1 ThreadID=18924
[0042].[12400].[14908].[2021.04.05.01.58.03.395804].SRV1.INF:Main.py.on_data_ready.50:Cx=5 Deðer1 from ThreadName=TH1 ThreadID=18924
[0043].[12400].[14908].[2021.04.05.01.58.03.405812].SRV1.INF:Main.py.on_data_ready.50:Cx=5 Deðer1 from ThreadName=TH2 ThreadID=5960
[0044].[12400].[14908].[2021.04.05.01.58.03.445837].SRV1.INF:Main.py.on_data_ready.50:Cx=6 Deðer1 from ThreadName=TH1 ThreadID=18924
[0045].[12400].[14908].[2021.04.05.01.58.03.453843].SRV1.INF:Main.py.on_data_ready.50:Cx=6 Deðer1 from ThreadName=TH2 ThreadID=5960
[0046].[12400].[14908].[2021.04.05.01.58.03.497380].SRV1.INF:Main.py.on_data_ready.50:Cx=7 Deðer1 from ThreadName=TH2 ThreadID=5960
[0047].[12400].[14908].[2021.04.05.01.58.03.508387].SRV1.INF:Main.py.on_data_ready.50:Cx=7 Deðer1 from ThreadName=TH1 ThreadID=18924
[0048].[12400].[14908].[2021.04.05.01.58.03.548413].SRV1.INF:Main.py.on_data_ready.50:Cx=8 Deðer1 from ThreadName=TH1 ThreadID=18924
[0049].[12400].[14908].[2021.04.05.01.58.03.558421].SRV1.INF:Main.py.on_data_ready.50:Cx=8 Deðer1 from ThreadName=TH2 ThreadID=5960
[0050].[12400].[14908].[2021.04.05.01.58.03.598447].SRV1.INF:Main.py.on_data_ready.50:Cx=9 Deðer1 from ThreadName=TH1 ThreadID=18924
[0051].[12400].[14908].[2021.04.05.01.58.03.606452].SRV1.INF:Main.py.on_data_ready.50:Cx=9 Deðer1 from ThreadName=TH2 ThreadID=5960
[0052].[12400].[14908].[2021.04.05.01.58.03.650481].SRV1.INF:Main.py.on_data_ready.50:Cx=10 Deðer1 from ThreadName=TH1 ThreadID=18924
[0053].[12400].[14908].[2021.04.05.01.58.03.657486].SRV1.INF:Main.py.on_data_ready.50:Cx=10 Deðer1 from ThreadName=TH2 ThreadID=5960
[0054].[12400].[14908].[2021.04.05.01.58.03.700514].SRV1.INF:Main.py.on_data_ready.50:Cx=11 Deðer1 from ThreadName=TH1 ThreadID=18924
[0055].[12400].[14908].[2021.04.05.01.58.03.708519].SRV1.INF:Main.py.on_data_ready.50:Cx=11 Deðer1 from ThreadName=TH2 ThreadID=5960
[0056].[12400].[14908].[2021.04.05.01.58.03.751548].SRV1.INF:Main.py.on_data_ready.50:Cx=12 Deðer1 from ThreadName=TH2 ThreadID=5960
[0057].[12400].[14908].[2021.04.05.01.58.03.759554].SRV1.INF:Main.py.on_data_ready.50:Cx=12 Deðer1 from ThreadName=TH1 ThreadID=18924
