[0051].[12488].[11368].[2021.04.05.01.22.04.020139].SRV1.INF:Main.py.on_data_ready.47:Cx=18 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0052].[12488].[11368].[2021.04.05.01.22.04.029144].SRV1.INF:Main.py.on_data_ready.47:Cx=19 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0053].[12488].[11368].[2021.04.05.01.22.04.037149].SRV1.INF:Main.py.on_data_ready.47:Cx=20 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0054].[12488].[11368].[2021.04.05.01.22.04.046155].SRV1.INF:Main.py.on_data_ready.47:Cx=21 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0055].[12488].[11368].[2021.04.05.01.22.04.055161].SRV1.INF:Main.py.on_data_ready.47:Cx=22 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0056].[12488].[11368].[2021.04.05.01.22.04.063166].SRV1.INF:Main.py.on_data_ready.47:Cx=23 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0057].[12488].[11368].[2021.04.05.01.22.04.071172].SRV1.INF:Main.py.on_data_ready.47:Cx=24 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0058].[12488].[11368].[2021.04.05.01.22.04.080177].SRV1.INF:Main.py.on_data_ready.47:Cx=25 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0059].[12488].[11368].[2021.04.05.01.22.04.089184].SRV1.INF:Main.py.on_data_ready.47:Cx=26 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0060].[12488].[11368].[2021.04.05.01.22.04.098190].SRV1.INF:Main.py.on_data_ready.47:Cx=27 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0061].[12488].[11368].[2021.04.05.01.22.04.113199].SRV1.INF:Main.py.on_data_ready.47:Cx=28 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0062].[12488].[11368].[2021.04.05.01.22.04.121205].SRV1.INF:Main.py.on_data_ready.47:Cx=29 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0063].[12488].[11368].[2021.04.05.01.22.04.130211].SRV1.INF:Main.py.on_data_ready.47:Cx=30 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
