[0058].[16136].[9304].[2021.04.05.01.55.01.458365].SRV1.INF:Main.py.on_data_ready.50:Cx=13 Deðer1 from ThreadName=TH1 ThreadID=11236
[0059].[16136].[9304].[2021.04.05.01.55.01.468371].SRV1.INF:Main.py.on_data_ready.50:Cx=13 Deðer1 from ThreadName=TH2 ThreadID=11836
[0060].[16136].[9304].[2021.04.05.01.55.01.558433].SRV1.INF:Main.py.on_data_ready.50:Cx=14 Deðer1 from ThreadName=TH1 ThreadID=11236
[0061].[16136].[9304].[2021.04.05.01.55.01.569441].SRV1.INF:Main.py.on_data_ready.50:Cx=14 Deðer1 from ThreadName=TH2 ThreadID=11836
[0062].[16136].[9304].[2021.04.05.01.55.01.659499].SRV1.INF:Main.py.on_data_ready.50:Cx=15 Deðer1 from ThreadName=TH1 ThreadID=11236
[0063].[16136].[9304].[2021.04.05.01.55.01.670090].SRV1.INF:Main.py.on_data_ready.50:Cx=15 Deðer1 from ThreadName=TH2 ThreadID=11836
[0064].[16136].[9304].[2021.04.05.01.55.01.760149].SRV1.INF:Main.py.on_data_ready.50:Cx=16 Deðer1 from ThreadName=TH1 ThreadID=11236
[0065].[16136].[9304].[2021.04.05.01.55.01.771657].SRV1.INF:Main.py.on_data_ready.50:Cx=16 Deðer1 from ThreadName=TH2 ThreadID=11836
[0066].[16136].[9304].[2021.04.05.01.55.01.860717].SRV1.INF:Main.py.on_data_ready.50:Cx=17 Deðer1 from ThreadName=TH1 ThreadID=11236
[0067].[16136].[9304].[2021.04.05.01.55.01.871222].SRV1.INF:Main.py.on_data_ready.50:Cx=17 Deðer1 from ThreadName=TH2 ThreadID=11836
[0068].[16136].[9304].[2021.04.05.01.55.01.960787].SRV1.INF:Main.py.on_data_ready.50:Cx=18 Deðer1 from ThreadName=TH1 ThreadID=11236
[0069].[16136].[9304].[2021.04.05.01.55.01.971294].SRV1.INF:Main.py.on_data_ready.50:Cx=18 Deðer1 from ThreadName=TH2 ThreadID=11836
[0070].[16136].[9304].[2021.04.05.01.55.02.061042].SRV1.INF:Main.py.on_data_ready.50:Cx=19 Deðer1 from ThreadName=TH1 ThreadID=11236
[0071].[16136].[9304].[2021.04.05.01.55.02.072050].SRV1.INF:Main.py.on_data_ready.50:Cx=19 Deðer1 from ThreadName=TH2 ThreadID=11836
[0072].[16136].[9304].[2021.04.05.01.55.02.161108].SRV1.INF:Main.py.on_data_ready.50:Cx=20 Deðer1 from ThreadName=TH1 ThreadID=11236
