[0001].[9092].[7656].[2021.04.05.01.41.59.041328].SRV1.INF:Main.py.<module>.515:Main Program Started
[0002].[9092].[7656].[2021.04.05.01.41.59.049333].SRV1.INF:Main.py.<module>.517:Command Line iniFileName=default.ini
[0003].[9092].[7656].[2021.04.05.01.41.59.056338].SRV1.INF:Main.py.<module>.518:Command Line VerboseMode=None
[0004].[9092].[7656].[2021.04.05.01.41.59.063342].SRV1.INF:Main.py.<module>.521:AppSpoManager.DebugVerboseModeOn=True
[0005].[9092].[7656].[2021.04.05.01.41.59.070345].SRV1.INF:Main.py.<module>.522:AppSpoManager.AppDebugMan.DebugInfoMessages=True
[0006].[9092].[7656].[2021.04.05.01.41.59.077352].SRV1.INF:Main.py.<module>.523:AppSpoManager.DebugErrorMessages=True
[0007].[9092].[7656].[2021.04.05.01.41.59.085355].SRV1.INF:Main.py.<module>.524:AppSpoManager.DebugTargetConsole=False
[0008].[9092].[7656].[2021.04.05.01.41.59.092361].SRV1.INF:Main.py.<module>.525:AppSpoManager.DebugTargetFile=True
[0009].[9092].[7656].[2021.04.05.01.41.59.099366].SRV1.INF:Main.py.<module>.526:AppSpoManager.DebugTargetFilePath=Debugs\Debug1
[0010].[9092].[7656].[2021.04.05.01.41.59.107371].SRV1.INF:Main.py.<module>.527:AppSpoManager.DebugLinesPerFile=1000
[0011].[9092].[7656].[2021.04.05.01.41.59.114375].SRV1.INF:Main.py.<module>.528:AppSpoManager.AppRunFolder=c:\Apps\PythonTry1
[0012].[9092].[7656].[2021.04.05.01.41.59.121380].SRV1.INF:Main.py.<module>.534:ModuleFileNameOnly=Main.py
[0013].[9092].[7656].[2021.04.05.01.41.59.128385].SRV1.INF:Main.py.<module>.536:File=c:\Apps\PythonTry1\Main.py
[0014].[9092].[7656].[2021.04.05.01.41.59.135389].SRV1.INF:Main.py.<module>.537:FileDirName=c:\Apps\PythonTry1
[0015].[9092].[7656].[2021.04.05.01.41.59.142393].SRV1.INF:Main.py.<module>.538:FileAbsPath=c:\Apps\PythonTry1\Main.py
[0016].[9092].[7656].[2021.04.05.01.41.59.149398].SRV1.INF:Main.py.<module>.539:ModuleName1=__main__
[0017].[9092].[7656].[2021.04.05.01.41.59.156403].SRV1.INF:Main.py.<module>.540:ModuleName2=Main
[0018].[9092].[7656].[2021.04.05.01.41.59.163408].SRV1.INF:Main.py.<module>.542:Main Program Started
[0019].[9092].[7656].[2021.04.05.01.41.59.170413].SRV1.INF:Main.py.<module>.543:Python Executable Path=C:\Program Files\Python39\python.exe
[0020].[9092].[7656].[2021.04.05.01.41.59.177417].SRV1.INF:Main.py.<module>.544:Python Interpreter Version=3.9.2 (tags/v3.9.2:1a79785, Feb 19 2021, 13:44:55) [MSC v.1928 64 bit (AMD64)]
[0021].[9092].[7656].[2021.04.05.01.41.59.184421].SRV1.INF:Main.py.<module>.545:PythonShellProcessPID=7656
[0022].[9092].[7656].[2021.04.05.01.41.59.197430].SRV1.INF:Main.py.<module>.546:PythonShellParentProcessPID=9092
[0023].[9092].[7656].[2021.04.05.01.41.59.205436].SRV1.INF:Main.py.<module>.549:Sys.Path=['c:\\Apps\\PythonTry1', 'C:\\Program Files\\Python39\\python39.zip', 'C:\\Program Files\\Python39\\DLLs', 'C:\\Program Files\\Python39\\lib', 'C:\\Program Files\\Python39', 'C:\\Users\\user2\\AppData\\Roaming\\Python\\Python39\\site-packages', 'C:\\Program Files\\Python39\\lib\\site-packages']
[0024].[9092].[7656].[2021.04.05.01.41.59.234455].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.384:192.168.0.1, KAT1.ODA1, KORÝDOR DUVAR
192.168.0.2, KAT2.ODA2, TAVAN HOPARLÖR
192.168.0.3, KAT3.ODA3, KAPI_ÖNÜ_ANONS
[0025].[9092].[7656].[2021.04.05.01.41.59.246465].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.398:List of All Nodes Read From IniFile------
[0026].[9092].[7656].[2021.04.05.01.41.59.257470].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.400:Node[0] Order=[0] IP=192.168.0.1] Place=]KAT1.ODA1] Desc=[KORÝDOR DUVAR]
[0027].[9092].[7656].[2021.04.05.01.41.59.267476].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.400:Node[1] Order=[1] IP=192.168.0.2] Place=]KAT2.ODA2] Desc=[TAVAN HOPARLÖR]
[0028].[9092].[7656].[2021.04.05.01.41.59.276482].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.400:Node[2] Order=[2] IP=192.168.0.3] Place=]KAT3.ODA3] Desc=[KAPI_ÖNÜ_ANONS]
[0029].[9092].[7656].[2021.04.05.01.41.59.285488].SRV1.INF:Main.py.<module>.583:Creating TestThread1
[0030].[9092].[7656].[2021.04.05.01.41.59.294496].SRV1.INF:Main.py.<module>.585:Created TestThread1
[0031].[9092].[7656].[2021.04.05.01.41.59.302499].SRV1.INF:Main.py.<module>.587:Starting TestThread1
[0032].[9092].[7656].[2021.04.05.01.41.59.310507].SRV1.INF:Main.py.<module>.589:Started TestThread1
[0033].[9092].[7656].[2021.04.05.01.41.59.318511].SRV1.INF:Main.py.<module>.591:Showing MainWindow
[0034].[9092].[7656].[2021.04.05.01.41.59.330520].SRV1.INF:Main.py.on_data_ready.49:Cx=1 Deðer1 from ThreadName=TH1 ThreadID=4160
[0035].[9092].[7656].[2021.04.05.01.41.59.338524].SRV1.INF:Main.py.on_data_ready.49:Cx=2 Deðer1 from ThreadName=TH1 ThreadID=4160
[0036].[9092].[7656].[2021.04.05.01.41.59.346529].SRV1.INF:Main.py.on_data_ready.49:Cx=3 Deðer1 from ThreadName=TH1 ThreadID=4160
[0037].[9092].[7656].[2021.04.05.01.41.59.354536].SRV1.INF:Main.py.on_data_ready.49:Cx=4 Deðer1 from ThreadName=TH1 ThreadID=4160
[0038].[9092].[7656].[2021.04.05.01.41.59.399566].SRV1.INF:Main.py.on_data_ready.49:Cx=5 Deðer1 from ThreadName=TH1 ThreadID=4160
[0039].[9092].[7656].[2021.04.05.01.41.59.407570].SRV1.INF:Main.py.on_data_ready.49:Cx=6 Deðer1 from ThreadName=TH1 ThreadID=4160
[0040].[9092].[7656].[2021.04.05.01.41.59.416575].SRV1.INF:Main.py.on_data_ready.49:Cx=7 Deðer1 from ThreadName=TH1 ThreadID=4160
[0041].[9092].[7656].[2021.04.05.01.41.59.424582].SRV1.INF:Main.py.on_data_ready.49:Cx=8 Deðer1 from ThreadName=TH1 ThreadID=4160
[0042].[9092].[7656].[2021.04.05.01.41.59.433587].SRV1.INF:Main.py.on_data_ready.49:Cx=9 Deðer1 from ThreadName=TH1 ThreadID=4160
[0043].[9092].[7656].[2021.04.05.01.41.59.441593].SRV1.INF:Main.py.on_data_ready.49:Cx=10 Deðer1 from ThreadName=TH1 ThreadID=4160
[0044].[9092].[7656].[2021.04.05.01.41.59.450598].SRV1.INF:Main.py.on_data_ready.49:Cx=11 Deðer1 from ThreadName=TH1 ThreadID=4160
[0045].[9092].[7656].[2021.04.05.01.41.59.457602].SRV1.INF:Main.py.on_data_ready.49:Cx=12 Deðer1 from ThreadName=TH1 ThreadID=4160
[0046].[9092].[7656].[2021.04.05.01.41.59.466610].SRV1.INF:Main.py.on_data_ready.49:Cx=13 Deðer1 from ThreadName=TH1 ThreadID=4160
[0047].[9092].[7656].[2021.04.05.01.41.59.474615].SRV1.INF:Main.py.on_data_ready.49:Cx=14 Deðer1 from ThreadName=TH1 ThreadID=4160
[0048].[9092].[7656].[2021.04.05.01.41.59.482620].SRV1.INF:Main.py.on_data_ready.49:Cx=15 Deðer1 from ThreadName=TH1 ThreadID=4160
[0049].[9092].[7656].[2021.04.05.01.41.59.490626].SRV1.INF:Main.py.on_data_ready.49:Cx=16 Deðer1 from ThreadName=TH1 ThreadID=4160
[0050].[9092].[7656].[2021.04.05.01.41.59.498630].SRV1.INF:Main.py.on_data_ready.49:Cx=17 Deðer1 from ThreadName=TH1 ThreadID=4160
[0051].[9092].[7656].[2021.04.05.01.41.59.506636].SRV1.INF:Main.py.on_data_ready.49:Cx=18 Deðer1 from ThreadName=TH1 ThreadID=4160
[0052].[9092].[7656].[2021.04.05.01.41.59.515642].SRV1.INF:Main.py.on_data_ready.49:Cx=19 Deðer1 from ThreadName=TH1 ThreadID=4160
[0053].[9092].[7656].[2021.04.05.01.41.59.522646].SRV1.INF:Main.py.on_data_ready.49:Cx=20 Deðer1 from ThreadName=TH1 ThreadID=4160
[0054].[9092].[7656].[2021.04.05.01.41.59.530652].SRV1.INF:Main.py.on_data_ready.49:Cx=21 Deðer1 from ThreadName=TH1 ThreadID=4160
[0055].[9092].[7656].[2021.04.05.01.41.59.538657].SRV1.INF:Main.py.on_data_ready.49:Cx=22 Deðer1 from ThreadName=TH1 ThreadID=4160
[0056].[9092].[7656].[2021.04.05.01.41.59.550665].SRV1.INF:Main.py.on_data_ready.49:Cx=23 Deðer1 from ThreadName=TH1 ThreadID=4160
[0057].[9092].[7656].[2021.04.05.01.41.59.558671].SRV1.INF:Main.py.on_data_ready.49:Cx=24 Deðer1 from ThreadName=TH1 ThreadID=4160
[0058].[9092].[7656].[2021.04.05.01.41.59.567675].SRV1.INF:Main.py.on_data_ready.49:Cx=25 Deðer1 from ThreadName=TH1 ThreadID=4160
[0059].[9092].[7656].[2021.04.05.01.41.59.575683].SRV1.INF:Main.py.on_data_ready.49:Cx=26 Deðer1 from ThreadName=TH1 ThreadID=4160
[0060].[9092].[7656].[2021.04.05.01.41.59.585688].SRV1.INF:Main.py.on_data_ready.49:Cx=27 Deðer1 from ThreadName=TH1 ThreadID=4160
[0061].[9092].[7656].[2021.04.05.01.41.59.592692].SRV1.INF:Main.py.on_data_ready.49:Cx=28 Deðer1 from ThreadName=TH1 ThreadID=4160
[0062].[9092].[7656].[2021.04.05.01.41.59.600698].SRV1.INF:Main.py.on_data_ready.49:Cx=29 Deðer1 from ThreadName=TH1 ThreadID=4160
[0063].[9092].[7656].[2021.04.05.01.41.59.609208].SRV1.INF:Main.py.on_data_ready.49:Cx=30 Deðer1 from ThreadName=TH1 ThreadID=4160
[0064].[9092].[7656].[2021.04.05.01.41.59.617714].SRV1.INF:Main.py.on_data_ready.49:Cx=31 Deðer1 from ThreadName=TH1 ThreadID=4160
[0065].[9092].[7656].[2021.04.05.01.41.59.625233].SRV1.INF:Main.py.on_data_ready.49:Cx=32 Deðer1 from ThreadName=TH1 ThreadID=4160
[0066].[9092].[7656].[2021.04.05.01.41.59.633238].SRV1.INF:Main.py.on_data_ready.49:Cx=33 Deðer1 from ThreadName=TH1 ThreadID=4160
[0067].[9092].[7656].[2021.04.05.01.41.59.641244].SRV1.INF:Main.py.on_data_ready.49:Cx=34 Deðer1 from ThreadName=TH1 ThreadID=4160
[0068].[9092].[7656].[2021.04.05.01.41.59.649249].SRV1.INF:Main.py.on_data_ready.49:Cx=35 Deðer1 from ThreadName=TH1 ThreadID=4160
[0069].[9092].[7656].[2021.04.05.01.41.59.657255].SRV1.INF:Main.py.on_data_ready.49:Cx=36 Deðer1 from ThreadName=TH1 ThreadID=4160
[0070].[9092].[7656].[2021.04.05.01.41.59.665260].SRV1.INF:Main.py.on_data_ready.49:Cx=37 Deðer1 from ThreadName=TH1 ThreadID=4160
[0071].[9092].[7656].[2021.04.05.01.41.59.673265].SRV1.INF:Main.py.on_data_ready.49:Cx=38 Deðer1 from ThreadName=TH1 ThreadID=4160
[0072].[9092].[7656].[2021.04.05.01.41.59.681271].SRV1.INF:Main.py.on_data_ready.49:Cx=39 Deðer1 from ThreadName=TH1 ThreadID=4160
[0073].[9092].[7656].[2021.04.05.01.41.59.689275].SRV1.INF:Main.py.on_data_ready.49:Cx=40 Deðer1 from ThreadName=TH1 ThreadID=4160
[0074].[9092].[7656].[2021.04.05.01.41.59.699282].SRV1.INF:Main.py.on_data_ready.49:Cx=41 Deðer1 from ThreadName=TH1 ThreadID=4160
[0075].[9092].[7656].[2021.04.05.01.41.59.707287].SRV1.INF:Main.py.on_data_ready.49:Cx=42 Deðer1 from ThreadName=TH1 ThreadID=4160
[0076].[9092].[7656].[2021.04.05.01.41.59.715796].SRV1.INF:Main.py.on_data_ready.49:Cx=43 Deðer1 from ThreadName=TH1 ThreadID=4160
[0077].[9092].[7656].[2021.04.05.01.41.59.723801].SRV1.INF:Main.py.on_data_ready.49:Cx=44 Deðer1 from ThreadName=TH1 ThreadID=4160
[0078].[9092].[7656].[2021.04.05.01.41.59.731308].SRV1.INF:Main.py.on_data_ready.49:Cx=45 Deðer1 from ThreadName=TH1 ThreadID=4160
[0079].[9092].[7656].[2021.04.05.01.41.59.738312].SRV1.INF:Main.py.on_data_ready.49:Cx=46 Deðer1 from ThreadName=TH1 ThreadID=4160
[0080].[9092].[7656].[2021.04.05.01.41.59.746318].SRV1.INF:Main.py.on_data_ready.49:Cx=47 Deðer1 from ThreadName=TH1 ThreadID=4160
