[0001].[19504].[15040].[2021.04.05.01.42.28.637982].SRV1.INF:Main.py.<module>.515:Main Program Started
[0002].[19504].[15040].[2021.04.05.01.42.28.644987].SRV1.INF:Main.py.<module>.517:Command Line iniFileName=default.ini
[0003].[19504].[15040].[2021.04.05.01.42.28.651991].SRV1.INF:Main.py.<module>.518:Command Line VerboseMode=None
[0004].[19504].[15040].[2021.04.05.01.42.28.658996].SRV1.INF:Main.py.<module>.521:AppSpoManager.DebugVerboseModeOn=True
[0005].[19504].[15040].[2021.04.05.01.42.28.667001].SRV1.INF:Main.py.<module>.522:AppSpoManager.AppDebugMan.DebugInfoMessages=True
[0006].[19504].[15040].[2021.04.05.01.42.28.674006].SRV1.INF:Main.py.<module>.523:AppSpoManager.DebugErrorMessages=True
[0007].[19504].[15040].[2021.04.05.01.42.28.681011].SRV1.INF:Main.py.<module>.524:AppSpoManager.DebugTargetConsole=False
[0008].[19504].[15040].[2021.04.05.01.42.28.688015].SRV1.INF:Main.py.<module>.525:AppSpoManager.DebugTargetFile=True
[0009].[19504].[15040].[2021.04.05.01.42.28.695020].SRV1.INF:Main.py.<module>.526:AppSpoManager.DebugTargetFilePath=Debugs\Debug1
[0010].[19504].[15040].[2021.04.05.01.42.28.703025].SRV1.INF:Main.py.<module>.527:AppSpoManager.DebugLinesPerFile=1000
[0011].[19504].[15040].[2021.04.05.01.42.28.710030].SRV1.INF:Main.py.<module>.528:AppSpoManager.AppRunFolder=c:\Apps\PythonTry1
[0012].[19504].[15040].[2021.04.05.01.42.28.720037].SRV1.INF:Main.py.<module>.534:ModuleFileNameOnly=Main.py
[0013].[19504].[15040].[2021.04.05.01.42.28.731044].SRV1.INF:Main.py.<module>.536:File=c:\Apps\PythonTry1\Main.py
[0014].[19504].[15040].[2021.04.05.01.42.28.743052].SRV1.INF:Main.py.<module>.537:FileDirName=c:\Apps\PythonTry1
[0015].[19504].[15040].[2021.04.05.01.42.28.754059].SRV1.INF:Main.py.<module>.538:FileAbsPath=c:\Apps\PythonTry1\Main.py
[0016].[19504].[15040].[2021.04.05.01.42.28.765066].SRV1.INF:Main.py.<module>.539:ModuleName1=__main__
[0017].[19504].[15040].[2021.04.05.01.42.28.777074].SRV1.INF:Main.py.<module>.540:ModuleName2=Main
[0018].[19504].[15040].[2021.04.05.01.42.28.788143].SRV1.INF:Main.py.<module>.542:Main Program Started
[0019].[19504].[15040].[2021.04.05.01.42.28.798651].SRV1.INF:Main.py.<module>.543:Python Executable Path=C:\Program Files\Python39\python.exe
[0020].[19504].[15040].[2021.04.05.01.42.28.805656].SRV1.INF:Main.py.<module>.544:Python Interpreter Version=3.9.2 (tags/v3.9.2:1a79785, Feb 19 2021, 13:44:55) [MSC v.1928 64 bit (AMD64)]
[0021].[19504].[15040].[2021.04.05.01.42.28.813161].SRV1.INF:Main.py.<module>.545:PythonShellProcessPID=15040
[0022].[19504].[15040].[2021.04.05.01.42.28.826669].SRV1.INF:Main.py.<module>.546:PythonShellParentProcessPID=19504
[0023].[19504].[15040].[2021.04.05.01.42.28.834174].SRV1.INF:Main.py.<module>.549:Sys.Path=['c:\\Apps\\PythonTry1', 'C:\\Program Files\\Python39\\python39.zip', 'C:\\Program Files\\Python39\\DLLs', 'C:\\Program Files\\Python39\\lib', 'C:\\Program Files\\Python39', 'C:\\Users\\user2\\AppData\\Roaming\\Python\\Python39\\site-packages', 'C:\\Program Files\\Python39\\lib\\site-packages']
[0024].[19504].[15040].[2021.04.05.01.42.28.866696].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.384:192.168.0.1, KAT1.ODA1, KORÝDOR DUVAR
192.168.0.2, KAT2.ODA2, TAVAN HOPARLÖR
192.168.0.3, KAT3.ODA3, KAPI_ÖNÜ_ANONS
[0025].[19504].[15040].[2021.04.05.01.42.28.876283].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.398:List of All Nodes Read From IniFile------
[0026].[19504].[15040].[2021.04.05.01.42.28.888290].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.400:Node[0] Order=[0] IP=192.168.0.1] Place=]KAT1.ODA1] Desc=[KORÝDOR DUVAR]
[0027].[19504].[15040].[2021.04.05.01.42.28.897297].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.400:Node[1] Order=[1] IP=192.168.0.2] Place=]KAT2.ODA2] Desc=[TAVAN HOPARLÖR]
[0028].[19504].[15040].[2021.04.05.01.42.28.905301].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.400:Node[2] Order=[2] IP=192.168.0.3] Place=]KAT3.ODA3] Desc=[KAPI_ÖNÜ_ANONS]
[0029].[19504].[15040].[2021.04.05.01.42.28.913307].SRV1.INF:Main.py.<module>.586:Creating TestThread1
[0030].[19504].[15040].[2021.04.05.01.42.28.924314].SRV1.INF:Main.py.<module>.588:Created TestThread1
[0031].[19504].[15040].[2021.04.05.01.42.28.932319].SRV1.INF:Main.py.<module>.590:Starting TestThread1
[0032].[19504].[15040].[2021.04.05.01.42.28.941325].SRV1.INF:Main.py.<module>.592:Started TestThread1
[0033].[19504].[15040].[2021.04.05.01.42.28.950331].SRV1.INF:Main.py.<module>.594:Showing MainWindow
[0034].[19504].[15040].[2021.04.05.01.42.28.960338].SRV1.INF:Main.py.on_data_ready.49:Cx=1 Deðer1 from ThreadName=TH1 ThreadID=7152
[0035].[19504].[15040].[2021.04.05.01.42.28.969344].SRV1.INF:Main.py.on_data_ready.49:Cx=1 Deðer1 from ThreadName=TH2 ThreadID=14260
[0036].[19504].[15040].[2021.04.05.01.42.28.980351].SRV1.INF:Main.py.on_data_ready.49:Cx=2 Deðer1 from ThreadName=TH2 ThreadID=14260
[0037].[19504].[15040].[2021.04.05.01.42.28.993360].SRV1.INF:Main.py.on_data_ready.49:Cx=2 Deðer1 from ThreadName=TH1 ThreadID=7152
[0038].[19504].[15040].[2021.04.05.01.42.29.003366].SRV1.INF:Main.py.on_data_ready.49:Cx=3 Deðer1 from ThreadName=TH2 ThreadID=14260
[0039].[19504].[15040].[2021.04.05.01.42.29.014375].SRV1.INF:Main.py.on_data_ready.49:Cx=3 Deðer1 from ThreadName=TH1 ThreadID=7152
[0040].[19504].[15040].[2021.04.05.01.42.29.023381].SRV1.INF:Main.py.on_data_ready.49:Cx=4 Deðer1 from ThreadName=TH2 ThreadID=14260
[0041].[19504].[15040].[2021.04.05.01.42.29.031385].SRV1.INF:Main.py.on_data_ready.49:Cx=4 Deðer1 from ThreadName=TH1 ThreadID=7152
[0042].[19504].[15040].[2021.04.05.01.42.29.085422].SRV1.INF:Main.py.on_data_ready.49:Cx=5 Deðer1 from ThreadName=TH2 ThreadID=14260
[0043].[19504].[15040].[2021.04.05.01.42.29.094427].SRV1.INF:Main.py.on_data_ready.49:Cx=5 Deðer1 from ThreadName=TH1 ThreadID=7152
[0044].[19504].[15040].[2021.04.05.01.42.29.102432].SRV1.INF:Main.py.on_data_ready.49:Cx=6 Deðer1 from ThreadName=TH2 ThreadID=14260
[0045].[19504].[15040].[2021.04.05.01.42.29.112439].SRV1.INF:Main.py.on_data_ready.49:Cx=6 Deðer1 from ThreadName=TH1 ThreadID=7152
[0046].[19504].[15040].[2021.04.05.01.42.29.123446].SRV1.INF:Main.py.on_data_ready.49:Cx=7 Deðer1 from ThreadName=TH2 ThreadID=14260
[0047].[19504].[15040].[2021.04.05.01.42.29.131453].SRV1.INF:Main.py.on_data_ready.49:Cx=7 Deðer1 from ThreadName=TH1 ThreadID=7152
[0048].[19504].[15040].[2021.04.05.01.42.29.138456].SRV1.INF:Main.py.on_data_ready.49:Cx=8 Deðer1 from ThreadName=TH2 ThreadID=14260
[0049].[19504].[15040].[2021.04.05.01.42.29.146462].SRV1.INF:Main.py.on_data_ready.49:Cx=8 Deðer1 from ThreadName=TH1 ThreadID=7152
[0050].[19504].[15040].[2021.04.05.01.42.29.157469].SRV1.INF:Main.py.on_data_ready.49:Cx=9 Deðer1 from ThreadName=TH1 ThreadID=7152
[0051].[19504].[15040].[2021.04.05.01.42.29.165474].SRV1.INF:Main.py.on_data_ready.49:Cx=9 Deðer1 from ThreadName=TH2 ThreadID=14260
[0052].[19504].[15040].[2021.04.05.01.42.29.173480].SRV1.INF:Main.py.on_data_ready.49:Cx=10 Deðer1 from ThreadName=TH1 ThreadID=7152
[0053].[19504].[15040].[2021.04.05.01.42.29.181484].SRV1.INF:Main.py.on_data_ready.49:Cx=10 Deðer1 from ThreadName=TH2 ThreadID=14260
[0054].[19504].[15040].[2021.04.05.01.42.29.188489].SRV1.INF:Main.py.on_data_ready.49:Cx=11 Deðer1 from ThreadName=TH2 ThreadID=14260
[0055].[19504].[15040].[2021.04.05.01.42.29.196495].SRV1.INF:Main.py.on_data_ready.49:Cx=11 Deðer1 from ThreadName=TH1 ThreadID=7152
[0056].[19504].[15040].[2021.04.05.01.42.29.204501].SRV1.INF:Main.py.on_data_ready.49:Cx=12 Deðer1 from ThreadName=TH2 ThreadID=14260
[0057].[19504].[15040].[2021.04.05.01.42.29.212506].SRV1.INF:Main.py.on_data_ready.49:Cx=12 Deðer1 from ThreadName=TH1 ThreadID=7152
